"","speciesName","hadsstwannp50","en4sstwannp50","en4sbtwannp50","maxent_wtd.quantile50.","wtd.quantile50.","hadsstwannp90","en4sstwannp90","en4sbtwannp90","maxent_wtd.quantile90.","wtd.quantile90.","hadsstwannp10","en4sstwannp10","en4sbtwannp10","maxent_wtd.quantile10.","wtd.quantile10."
"2750","Syngnathus louisianae",27.0955165331619,27.1910199511094,13.5642638757766,24.1390969151079,24.1966531966208,28.7379297596915,29.0412217331606,27.750381374951,24.6283770812954,26.7690191300922,19.152758266581,19.1138607808726,3.63577346622939,23.2923831939697,21.1523289986155
"2751","Syngnathus rostellatus",10.8000362488343,10.4360396365397,8.22336256566731,12.154128289931,10.75823168969,15.3680217493006,14.9668015468466,11.7896286768269,15.3798038068789,13.2553618026091,8.87622302775187,8.61059148842693,4.3353550932428,9.30109724458735,9.77899947827577
"2752","Syngnathus springeri",26.5789844493611,26.6330310436799,19.9127965975312,27.7683872013786,24.0811007010282,27.966086004425,28.0429805438629,26.1949485243288,28.787270187779,26.5908296786606,23.7318828942973,23.6741408430421,4.14851272676826,21.7966239464496,23.0038045373412
"2753","Syngnathus typhle",11.9252855324193,11.2916293097277,8.97248380446813,10.6487277627938,10.2713644705438,19.7282138310482,19.5533354268326,13.7617615742184,13.8542983541115,15.5486334132823,8.52435236882795,8.00935354771894,4.16084721964916,8.48026839424515,9.16090539045828
"2754","Synodus binotatus",27.1357659244998,27.4704838754691,1.37615440497778,26.8114588449004,26.629742118688,28.62,28.940891103602,20.7980406518044,28.7521841480079,28.4663683265927,25.4391531849,25.5927613794963,1.11561980645537,23.3184764523234,24.7570877972685
"2755","Synodus dermatogenys",27.78,28.1335595958878,1.66203223483779,28.0736116636335,27.6200345968762,28.89,29.2856130533078,18.4541975828912,28.9699793554307,28.5658795132555,25.19,25.4545491435828,1.14436984085326,26.401734002991,25.6181317505207
"2756","Synodus foetens",26.53,26.7384601046103,8.9232809809116,26.0820269436808,24.0736992307051,28.68,28.9577176789499,26.8054150578253,28.6472726855598,27.414920882065,14.15,13.6190112913857,2.2604005473175,15.0974007115755,14.3917966479447
"2757","Synodus indicus",26.4885639343786,26.8093187023545,2.63137563555993,26.8348696802345,26.4369926763422,28.24,28.4738832404719,23.6172085147318,28.307930642332,27.1979301102555,20.0294255737514,20.2632284832742,1.24163001136624,22.5568589837125,19.5969518340933
"2758","Synodus intermedius",26.74,26.908435412981,2.15599872528021,27.2557461400646,27.5135750965303,27.91,28.2093782626035,13.5726795850483,28.1124472295815,27.9799396165714,20.81,20.8501347988694,1.42877428112073,19.4302584451246,23.9171548005347
"2759","Synodus jaculum",27.74,27.9914127191627,4.58264968445732,27.6035369808137,26.7322081463489,28.73,29.0756019976111,27.3664391949261,28.7853615668432,28.5088636476392,25.4973960298329,25.737678285457,1.62403244428394,24.9167500441112,25.3360365139018
"2760","Synodus poeyi",26.02,26.3531719776074,2.31228851926646,26.4909022409793,24.1314398524132,28.57,28.8952171565383,15.6574427360173,28.6179289000333,27.5968627516323,13.3967371145016,13.0137444545409,1.44884062862311,18.0127411904036,15.3878370704176
"2761","Synodus sageneus",28.2735820267932,28.4142677872227,24.1289808312835,27.0053324682044,27.0014314688658,28.7984476482277,29.1368288444,28.2671418840784,28.7267190037975,28.577594986105,26.6074328107173,27.0659410342615,2.55343302129637,15.4056054848869,25.5577700608557
"2762","Synodus saurus",21.2269608148682,21.5025325447823,3.9917314826432,25.1043916441905,20.4052837036945,27.7971323666907,27.962468062197,13.5290253888532,28.5822564869775,27.5342697119781,17.7763480407434,17.57770487196,1.87302814562543,17.7717011030876,18.6126777928988
"2763","Synodus synodus",27.41,27.7250828702891,2.89548399548648,27.2457691088108,27.5092271517094,28.85,29.1753976714357,23.8909059877844,28.0255773392739,28.0086017251088,19.4511058783465,19.4772871325503,1.50852672239214,22.6818935833116,21.086787035604
"2764","Synodus ulae",25.6898458504586,25.6588196911156,1.1933946953078,27.3270016483427,25.0652786837802,27.81,28.037416115785,2.24831444403416,28.7673142250752,26.5631530436758,20.9079691700917,20.8650735859157,1.12669536606253,24.8612877062255,23.6291139214123
"2765","Synodus variegatus",27.07,27.4518962467773,1.42889629843261,26.7441867068165,26.0593682610424,28.89,29.2031224349702,4.27844457187,28.7748839028284,28.5615690777295,23.41,23.6874536353999,1.10472059318169,23.2174571586384,23.2401986925973
"2766","Taaningichthys bathyphilus",21.61,21.9634180943464,1.20832222611445,22.1780805849422,21.4687480970158,26.93,27.142610502425,2.08555018897994,26.9962592714097,24.3849364473842,10.0986825513861,10.2674061017684,0.491423501165701,12.2958729601107,16.2995200444397
"2767","Taaningichthys minimus",24.8083008436053,24.7772518950902,1.97076052379167,23.0098966426873,22.9525032786982,26.6649415184896,26.8791287069066,2.17870324333959,25.5217887300934,26.5549967062977,22.06,21.9409129040915,1.69516051908638,18.129436191056,20.8166987229969
"2768","Tactostoma macropus",13.4659537863881,13.2613952972672,1.24977817143367,12.0594444896247,11.8035325572527,19.827433630997,19.6275540027829,1.40017319974093,16.6064101624382,13.5369592226786,7.97319075727761,7.65760816558564,0.731427998506568,7.90042261701437,9.33266960996898
"2769","Taenianotus triacanthus",27.68,28.0352709389695,1.32113219055638,27.5012478935547,27.3591195520017,28.98,29.256144967994,5.01469341702381,28.8778942159075,28.7797664420549,25.2,25.4009831021744,0.979530416756163,24.0526256763741,24.2302702588214
"2770","Taeniura grabata",27.39,27.6531601811795,3.57588432868015,27.1757529608483,27.5932991198858,28.73,29.0191811752307,24.9765995594009,28.2475369953331,27.9710825028425,17.6503085503816,17.4065187940865,1.53235228108661,24.5144967247735,25.7889916774343
"2771","Taeniura lymma",27.73,28.0673943528664,1.86939835038274,27.9835007497247,28.2125761860329,28.89,29.2716466641975,21.4809778764499,28.9791776210794,28.802493871615,23.5131284931884,23.8851739680743,1.20940745434936,24.5069625181711,24.7602741933379
"2772","Taeniura meyeni",27.22,27.5510024407758,1.3246016798227,27.1581597407129,28.0326620432881,28.75,29.1158004464857,2.9084174764664,28.7532044073879,28.7210670093992,22.76,23.2031947501052,0.981031534608395,23.1261825561523,24.6618752602292
"2773","Takifugu oblongus",27.54,27.7582343610543,10.2188680229061,27.6093481169438,24.3307196433759,28.81,29.1170701135271,27.668533627977,28.8128294409812,27.9272174835205,19.9555553660113,20.173277822267,1.6372308242366,21.2177149997834,20.0639233009644
"2774","Taningia danae",20.9654236951508,21.521065587697,1.09399245407283,23.1837045238305,17.7465474532934,27.7,28.2135664028266,2.05614667839188,28.3465805849518,27.529373173999,7.91,8.31445575686248,0.416299769512665,7.30273652773648,12.4977340712936
"2775","Taurulus bubalis",10.0630690941411,9.87772509065571,7.72320083698312,9.87371302217536,10.7101460564552,13.0763810923635,12.5484350914776,11.1561336160399,13.254791098313,12.6868073615105,8.24030690941411,7.57246351657261,3.75573428727267,6.84033329554937,9.67789195100487
"2776","Tautoga onitis",17.207647650459,16.7618477003347,5.05500895870452,19.5163166642306,14.5820057465789,28.59,28.8625061424643,26.2371279988111,27.9867826125653,23.506832224933,-0.350470469908196,0.183993517179472,-0.385382015689328,10.1458428578703,11.442308769513
"2777","Tautogolabrus adspersus",8.88354617374357,8.57368710264376,3.96891534270666,9.99552176170677,9.90730080488336,13.0783831127384,12.5858720576114,10.113998356662,16.3521936545815,15.2087391241148,3.93967387798972,3.75937245409808,-0.37653999714799,5.02837635735704,6.38750189031066
"2778","Telmessus cheiragonus",4.3265366158833,4.16914923867932,1.60799887534899,3.83237981449866,4.93242560082665,5.97576590858994,5.77183071148992,3.61606195461585,8.35291739926851,7.43651699683052,2.45,2.59710611943874,-0.102660212440581,-0.857596188429803,3.3289708965678
"2779","Temora longicornis",15.0868230832966,14.9113707345297,2.38334434634826,12.8906106469817,10.9096724325433,21.3822815499338,21.3966620950912,12.8964529233402,19.6225406239411,17.6173327151079,5.69272923331862,5.47654719930297,1.87870033235394,5.18448911340211,6.26606244586618
"2780","Terapon jarbua",28.1966388822545,28.3827743626921,9.65524278171351,27.8906500416207,27.5404476576043,28.87,29.2405006070658,27.7381751610149,28.7922218922097,28.5682203924668,25.81,26.0913572598891,1.8126512837237,25.3452371131564,25.1208900536829
"2781","Tetractenos glaber",26.2129981164493,26.7283494173366,2.63250645705036,23.1295398909691,17.2127386427815,28.68,29.0002469981241,25.6860693894817,28.5425160257718,23.480688724609,13.3151992465797,13.8504844995288,1.30613142870986,10.3919870281015,15.2894810086683
"2782","Tetractenos hamiltoni",26.62,27.0466335212905,3.08647683059656,26.4811835105891,24.9093108215618,28.67,28.9872968470514,23.6118333198196,28.5766839918804,27.8229912009701,17.479416623325,17.543775105263,1.45507640640313,21.3476114127906,20.420196500141
"2783","Tetragonurus cuvieri",16.76,17.1752210977342,1.21684881842231,16.6331220876246,15.0482797651706,20.71,21.1036420255663,2.12136585508005,20.0029210158439,19.9149607208518,12.27,12.496152553436,0.611232089107895,12.8904570377655,12.7587065166134
"2784","Tetrosomus concatenatus",27.4,27.716299248349,3.05219347794162,26.6868772203031,23.3026840421433,28.72,29.0452724502392,26.1784336155459,28.692424873213,26.3949377162507,20.9778038130296,21.267094105237,1.37397442255222,11.9209554483828,19.5096777380611
"2785","Thalassionema nitzschioides",18.79,18.8423823272776,1.30592618388619,17.643631820327,13.2916120599512,28.21,28.5648151482346,2.93335059735127,28.4362121264195,25.6810573184817,-0.28,-0.0303647168379938,-0.121334308895349,1.04759411548281,5.41652097454801
"2786","Thalassiothrix longissima",19.7209356788107,19.8136810549011,1.3187490184708,19.0343488691278,12.8553423814854,28.57,28.8607698919783,2.45283161042509,28.5772753971844,26.0577924401977,5.28018713576213,5.38060357203602,0.434135371075582,4.52285860031306,5.73302535113891
"2787","Thalassoma amblycephalum",27.45,27.7950227627136,1.34007090785123,27.1426034883689,27.5617798125066,28.8,29.13203091407,3.2729432043393,28.7428101866995,28.5871337384325,24.29,24.509631809757,1.02293737358378,23.2553995650425,24.1313418009165
"2788","Thalassoma bifasciatum",27.14,27.3437660536247,1.99664066204982,27.6377872259153,27.6316482888471,28.8395615051768,29.1853678048689,4.15862102017483,28.2445480336975,28.0772013112261,25.2177290561308,25.1461054844565,1.59263056128533,26.5626943681766,26.5237390284545
"2789","Thalassoma duperrey",24.05,24.1078900738719,1.24492441374155,24.4890448794296,25.3025884203549,25.3813008569607,25.3769614388531,1.65990094481382,26.7406820127352,25.6664617680674,17.2592502380447,17.8990104358213,1.14527363400032,21.0756282895246,24.4205781452631
"2790","Thalassoma grammaticum",27.41,27.7717581793408,1.50370619153989,27.9869698355972,26.6276780684115,28.84,29.1992468759489,4.00787127548132,29.032214481249,28.2866962208202,21.3184511077457,21.7554061876975,0.98346325588015,25.6439416409047,23.9287971010938
"2791","Thalassoma hardwicke",28.37,28.6215353902392,1.33525873097297,27.2283543024382,28.0866737511514,29.0648341630368,29.2883090476017,4.6931894213546,28.7698933246345,28.7403902109504,26.1549815736708,26.2251469708922,0.982563837082634,23.220887267239,25.5728977885871
"2792","Thalassoma jansenii",27.68,28.0323505582637,3.17042123949227,27.3491849585121,26.9270383547002,28.533398859934,28.9402533582954,26.778636049818,28.5890597133497,28.4229662873285,26.0237109844371,26.1666876114569,1.63358582836675,25.5755927033498,25.3559634349559
"2793","Thalassoma lucasanum",28.25,28.5830322729088,1.82783233882894,27.9175090059373,27.5067509649354,29.23,29.4743283653235,26.9428479486485,28.9389300695094,28.3724343261842,25.0108541868361,25.3928879715366,1.28970019108795,25.3981726888663,24.3449454862539
"2794","Thalassoma lunare",27.78,28.0475555698072,1.95954880504353,27.4591342354294,27.0238761106779,28.91,29.2466891127045,23.625150880754,28.8312775935583,28.7634110908811,24.3102297643906,24.7038707895903,1.24207971315189,23.3379101665795,23.5972820575234
"2795","Thalassoma lutescens",26.63,26.9449679943156,1.3187076621518,26.9648506840016,26.8014872982763,28.71,29.0355345701916,2.85019501034661,28.7233392305354,28.4712014918592,21.04,21.3833124695615,0.959486319510573,22.4364931923628,23.3398080243774
"2796","Thalassoma pavo",22.23,22.3855941463559,2.22918661068591,20.2589061033747,20.0682644206669,26.68,26.8397062265896,13.4982631973891,22.686045596729,21.9855376557495,18.6195008842107,18.4984455825095,1.56042633734068,18.2758049040027,18.4741183180751
"2797","Thalassoma purpureum",26.69,27.0030391989805,1.27162060092035,26.6047878222753,25.603116544144,28.79,29.1202718525793,1.96577860179693,28.757245750026,28.5562222416461,20.7210947641524,21.2291839742209,0.976689131970653,22.5846599537662,23.5281985355809
"2798","Thalassoma quinquevittatum",27.75,28.114092419064,1.23737538742926,27.4583378647793,27.9286367687685,28.98,29.2542289012149,2.69609481067949,28.8260329458093,28.8081592110013,25.12,25.2935820771686,0.978198545248084,23.973133207892,25.1063446725613
"2799","Thalassoma trilobatum",25.31,25.5602568767298,1.2494181219782,26.5591372340813,25.4974778178739,28.57,28.8017984304115,1.7624377593749,28.6782235751139,28.4396749362663,17.1956934449405,17.7689262695857,0.976735541375929,20.8157279862562,23.4673873394071
"2800","Thaleichthys pacificus",4.87904073476436,4.7407801711112,1.80317245160451,7.49241765306873,7.35429149200765,12.1683731612135,11.4488480388984,5.60984536710411,12.8164731901692,11.2454229200024,3.02190407347644,3.14017875951392,0.498229836849563,2.65891363823143,4.37469034101231
"2801","Theragra chalcogramma",7.25,7.09951376744621,1.25524864017613,5.64544355209282,6.0703437293145,14.1812200820347,14.0370549137009,2.36447634773649,10.7388451531839,10.8959159017821,-0.46,0.206816862261362,-0.493370501489426,2.37739778662185,3.74133500452515
"2802","Thorogobius ephippiatus",19.3878992838855,19.1362106114127,8.80180740885117,12.8556829401078,11.5651970084716,28.64,28.8980828094534,27.233773947288,23.5226581338548,12.9928902634448,6.8395798567771,6.565377938101,2.02592056275468,4.07170435243436,9.81256690741983
"2803","Thunnus albacares",24.18,24.4351513835451,1.21272579759164,25.3567942295518,26.7191001829891,28.4,28.73009550792,2.09340146859913,28.533167797689,28.4389923615133,9.52853244623529,9.81397600974335,0.563471255601417,16.1552125943179,18.2217133933562
"2804","Thunnus thynnus",24.48,24.6851839857405,1.60524046266177,22.6826404417243,24.3057565063142,27.48,27.8505508171286,3.50663824726369,27.5513833473092,27.3685465648159,11.7356184973837,11.8614702754122,0.475352817792578,10.1196014515425,12.5558719985113
"2805","Thyriscus anoplus",6.36248544408702,6.23354511582857,1.25329451204628,3.07465217758115,6.03194605171001,10.5757106990349,9.86086432042256,1.79485034040514,11.2896589016177,6.20913775801285,4.70349126645221,4.36274888247101,1.23947460144595,-1.26783043974308,5.92775818246712
"2806","Thyrsites atun",23.43,23.7938732892284,1.62478074827949,21.7967915067598,17.5531615932689,26.57,27.0699244905148,5.08726414574129,26.4621748854388,24.5995251206394,14.41,14.5700789105687,0.830008108467995,12.1333486292341,11.6275902190332
"2807","Thyrsitoides marleyi",25.38,25.6657876453515,1.34614517000039,25.2782393139532,24.683678353446,28.05,28.448161117984,3.11027184495068,26.9220783511744,27.2455064351108,19.29,19.6141080563297,0.781531771495878,22.7140335747464,18.7604206431489
"2808","Thysanoessa raschii",2.47,2.87777875363604,0.722613715100962,1.40195275710817,5.94340490207102,9.68,9.37152305158065,3.81317227784255,9.97598924596241,11.0441817548048,-1.61,-1.35167656230736,-0.727740875021227,-1.64438426885527,0.328023268730119
"2809","Tilodon sexfasciatus",20.5018081821864,20.8903270714231,1.30559863992716,18.721914978693,17.7056387795195,28.16,28.4002056314712,12.9121689565971,22.376739405027,21.0956944534033,14.06,14.4657729808793,0.645255340964884,15.6202697302865,16.8231395855068
"2810","Tochuina tetraquetra",8.86886943638934,7.93197493659301,2.73279485262521,9.83444922705606,10.2056569901249,24.7185695964241,25.1906575740831,19.6709056945666,12.6873931094649,12.8941225629902,2.90090568363676,2.89590431280571,0.183275468914116,7.62329870221047,9.58499616597076
"2811","Todarodes angolensis",17.0426962837852,16.8511709616804,2.84542059698433,17.7610269096839,17.5368233764765,20.0988533108133,20.5760851871646,7.27748553808642,20.6441092126249,18.6653790228005,8.64653925675704,8.57915690216988,1.53538467251387,11.4756314753209,10.724659975101
"2812","Todarodes sagittatus",19.0660216365915,19.0753913893059,6.32643211084533,18.5510270703219,12.7871547849484,25.7644194729324,25.8642744833995,13.5417377049475,25.0199218809165,25.3160195266849,10.3964086546366,10.131447782543,2.16328912582289,10.6688079699604,9.80186235982169
"2813","Todaropsis eblanae",21.77,22.158569508709,2.57616609813863,18.9232136142845,17.5611620929422,27.27,27.4879743819391,13.5376897255249,25.1955941082022,24.7452474114107,11.94,11.5852076995303,0.805170037749494,11.6840174279641,9.94270267179879
"2814","Torpedo fuscomaculata",24.1650691252721,24.8195070683135,3.37345032782444,19.450767812721,19.2879613559168,27.7861644434468,27.848511926863,18.5670858903093,22.1287647314487,27.3256398508169,17.7334246908038,16.4050497817844,1.89863928635645,18.0794353829403,17.9378352242662
"2815","Torpedo marmorata",26.560693812129,26.7302903242989,5.18364876839223,26.0360334563613,25.9072757016967,28.6292488618321,28.906238305115,24.2931360631121,27.9975814625045,27.9443876411777,15.3264162872774,15.2750592971794,2.02124186151497,15.5904734449602,15.7594735980295
"2816","Torpedo torpedo",26.4066441160479,26.4833246436377,4.27251564680161,26.2602571922172,26.8785483877599,28.01,28.1506945023684,18.9166494326262,28.1500837878823,27.9578242705683,19.0253017624671,18.8412835376582,2.1009795119977,14.2228943576859,20.1984392233716
"2817","Torquigener hypselogeneion",27.5,27.7239486193505,9.99649011797059,27.1971405371975,25.7673200966005,28.76,29.0809432575599,27.3054307935005,28.7344676782542,26.7594574120028,17.7672607897854,17.7221555485889,1.95567134976021,16.1575078633619,22.9613981246497
"2818","Torquigener pleurogramma",23.83,24.1861758436894,1.77593995560196,23.9454443868855,23.6241665781067,28.5590582349361,28.8208507778739,25.2350445099074,27.5097876184426,27.390640078648,20.0754509149929,20.170624512855,0.819455234512197,20.1823285573584,18.5185885103401
"2819","Torquigener squamicauda",28.1818253563678,28.406740774997,4.98656511661283,27.592286765644,24.6126218869362,28.93,29.3044092034794,27.9985149502019,28.8339038479426,25.6679106701107,22.7209205701886,22.9978785314605,1.40905498011388,24.1425370555269,21.7117770124165
"2820","Trachichthys australis",28.42,28.7496838672661,4.87829197870908,27.7932252310655,19.6768508238085,28.9341279521504,29.2965422162906,28.037562048102,28.7766503244092,24.8392162322998,25.15,25.404470225346,1.70921798317854,21.5434656280664,17.5173681756099
"2821","Trachinocephalus myops",27,27.3104938358708,1.74477537555545,27.3238426027896,26.8666860333248,28.4,28.7416870157298,14.08933426601,28.4055159192545,28.0155736095826,22.9,23.407688297672,1.08111509551289,24.7446246989192,23.2923831939697
"2822","Trachinotus baillonii",26.69,27.0077551457099,1.31893659785898,27.9475346511956,26.3064707262968,28.69,29.0196320254238,2.84429190697101,28.9366856968757,28.7270999505385,22.16,22.4822819721129,0.93922394580969,26.9544722758532,23.9423186298814
"2823","Trachinotus blochii",27.86,28.1900859601901,1.2014921279947,27.6924605751074,26.4541385907288,29.05,29.2734819792254,2.86073254267924,28.8509993649706,28.4640413036674,25.93,25.9120621989383,0.974318855998653,26.2922848158993,24.3960634594914
