;al;bits;dfo_nf;dfo_qcs;ebs;evhoe;fr_cgfs;gmex;goa;gsl_n;gsl_s;ice_gfs;ie_igfs;neus;nigfs;nor_bts;ns_ibts;nz;pt_ibts;rocall;s_georg;scs;seus;swc_ibts;wcann;wctri
16. Feb 93;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAR-1993;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Apr 93;;;;;;;;;;;;;;;;;;;;;;;;;;
17-MAY-1993;;0.003840471;;;;;;;;;;;;;;;;;;;;;;;;
16. Jun 93;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 93;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Aug 93;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Sep 93;;;0.210931702;;;;;;;;;;;;;;;;;;;;;;;
16-OCT-1993;;;0.172478985;;;;;;;;;;;;;;;;;;;;;;;
18. Nov 93;;;;;;;;;;;;;;;;;;;;;;;;;;
18-DEC-1993;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jan 94;;;;;;;;;;;;;;;;;;;;;;0.01422504;;;;
16. Feb 94;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAR-1994;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Apr 94;;;;;;;;;;;;;;;;;;;;;;;;;;
17-MAY-1994;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jun 94;;;0.044958955;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 94;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Aug 94;;;;;;;;;;;;;;;;;;;;;;;;;0.025877338;
14. Sep 94;;;;;;0.023833067;;;;;;;;;;;;;;;;;;;;
16-OCT-1994;;;;;;;;;;;;;;;;;;;;;;0.198141149;;;;
18. Nov 94;;;;;;;;;;;;;;0.005775468;;;;;;;;0.012435286;;;;
18-DEC-1994;;;;;;;;;;;;;;0.024628418;;;;;;;;;;;;
17. Jan 95;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Feb 95;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAR-1995;;;;;;;;;;;;;;;;;;;0.036448293;;;;;;;
17. Apr 95;;;;;;;;;;;;;;;;;;;;;;;;;;
17-MAY-1995;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jun 95;;;;;;;;;;;;;;;;;;;;0.270651756;;;;;;
16. Jul 95;0.002177204;;;;;;;;;;;;;;;;;;;;;;;;;
15. Aug 95;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Sep 95;;;;;;;;;;;;;;;;;;;;;;;;;;
16-OCT-1995;;;;;;;;;;;;;;;0.113504533;;;;;;;;;;;
18. Nov 95;;;;;;;;;;;;;;;0.342856131;;;;0.005869975;;;;;;;
18-DEC-1995;;;;;;;;;;;;;;;;;;;0.047233886;;;;;;;
17. Jan 96;;;;;;;;;;;;;;;;;;;0.019515374;;;;;;;
16. Feb 96;;;;;;;;0.177143757;;;;;;;;;;;0.013949253;;;;;;;
17-MAR-1996;;;;;;;;0.045170464;;;;;;;;;;;;;;;;;;
16. Apr 96;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAY-1996;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Jun 96;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Jul 96;;;;;;;;;;;;;;;;;;;;;;;;;;0.083919819
16. Aug 96;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Sep 96;;;;;;;;;;;;;;;;;;;;;;;;;;
18-OCT-1996;;;;;;;;;;;;;0.042373187;;;;;;;;;;;;;
17. Nov 96;;;;;;;;;;;;;0.063980888;;;;;;;;;;;;;
17-DEC-1996;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jan 97;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Feb 97;;;;;;;;;;;;;;;;;;;;;;;;;;
17-MAR-1997;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Apr 97;;;;;;;;;;;;;;;;;;0.00461161;;;;;;;;
16-MAY-1997;;;;;;;;;;;;;;0.244013559;;;;0.012417323;0.090756386;;;;;;;
15. Jun 97;;;;;;;;;;;;;;;;;;0.032012272;0.039702215;;;;;;;
15. Jul 97;;;;;;;;;;;;;;;;;;;;;;;;;;
