;al;bits;dfo_nf;dfo_qcs;ebs;evhoe;fr_cgfs;gmex;goa;gsl_n;gsl_s;ice_gfs;ie_igfs;neus;nigfs;nor_bts;ns_ibts;nz;pt_ibts;rocall;s_georg;scs;seus;swc_ibts;wcann;wctri
16-MAR-1988;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Apr 88;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAY-1988;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jun 88;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jul 88;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Aug 88;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Sep 88;;;;;;;;;;;;;;;;0.185496975;;;;;;;;;;
15-OCT-1988;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Nov 88;;;;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-1988;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jan 89;;;;;;;0.193909774;0.696721968;;;;;;;0.316122952;;;0.806230586;;;;;;;;
14. Feb 89;;0.096543422;;;;;0.370141552;0.437637946;;;;;;0.264925415;0.381201809;;0.161621048;;;;;;0.842279208;0.026207294;;
16-MAR-1989;;0.015009078;;;;;0.374332645;;;;;;;;;;0.138479407;;;;;;;;;
18. Apr 89;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAY-1989;;0.152005201;;;;0.579645338;0.147269272;;;;;;;;;;;;0.099745781;;0.128173504;;;;;
17. Jun 89;;0.023967377;0.58611571;;;0.699833569;0.18095961;;;;;;0.00783938;;;;0.143886256;;;;;;;;;
17. Jul 89;;;;;;0.603842418;0.837864922;;;;;;1.007319524;;0.045002373;;;0.118769369;0.75755104;0.094618896;;;;0.280956658;;
16. Aug 89;;;;;;0.254309383;0.063334801;;;;;;;;;;;;1.169081954;;;;;;;
15. Sep 89;;;;;;;;;;;;;;;;;;;;;;;;;;
15-OCT-1989;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Nov 89;;0.112516131;;;;;;;;;;;;;;;;0.175695551;;;0.146584617;;0.124169101;;;
16-DEC-1989;;;;;;;;;;;;;;;0.228926246;;;;;;;;;;;
18. Jan 90;;;;;;0.00438551;0.177406123;;;;;;;;0.092592032;;;;;;;;;;;
