ref_yr,anom_days,anom_sev,anom_int,mhw_yes_no
Nor-BTS-8-2005,24,6.705831175000001,0.2794096322916667,yes
Nor-BTS-8-2006,0,0,0,no
Nor-BTS-8-2007,0,0,0,no
Nor-BTS-8-2008,0,0,0,no
Nor-BTS-8-2009,0,0,0,no
Nor-BTS-8-2010,0,0,0,no
Nor-BTS-8-2011,0,0,0,no
Nor-BTS-8-2012,22,2.4589305249999995,0.1117695693181818,yes
Nor-BTS-8-2013,36,17.262452600999996,0.4795125722499999,yes
Nor-BTS-8-2014,75,45.029937549999985,0.6003991673333331,yes
Nor-BTS-8-2015,0,0,0,no
Nor-BTS-8-2016,34,14.485506284,0.4260443024705882,yes
Nor-BTS-8-2017,57,15.862405798999998,0.2782878210350877,yes
NS-IBTS-1-1984,0,0,0,no
NS-IBTS-1-1985,9,1.9646121609999998,0.2182902401111111,yes
NS-IBTS-1-1986,0,0,0,no
NS-IBTS-1-1987,0,0,0,no
NS-IBTS-1-1988,0,0,0,no
NS-IBTS-1-1989,0,0,0,no
NS-IBTS-1-1990,22,6.964128142999999,0.31655127922727266,yes
NS-IBTS-1-1991,81,25.637131675,0.3165077984567901,yes
NS-IBTS-1-1992,0,0,0,no
NS-IBTS-1-1993,32,18.576033564999996,0.5805010489062499,yes
NS-IBTS-1-1994,0,0,0,no
NS-IBTS-1-1995,23,8.7540667090000035,0.38061159604347844,yes
NS-IBTS-1-1996,21,11.782949961000003,0.5610928552857144,yes
NS-IBTS-1-1997,0,0,0,no
NS-IBTS-1-1998,36,29.17156212,0.81032117,yes
NS-IBTS-1-1999,17,2.094472124,0.1232042425882353,yes
NS-IBTS-1-2000,13,2.560988715,0.19699913192307694,yes
NS-IBTS-1-2001,5,3.311959542,0.6623919084,yes
NS-IBTS-1-2002,0,0,0,no
NS-IBTS-1-2003,48,13.484450435000003,0.2809260507291667,yes
NS-IBTS-1-2004,69,36.036292800999995,0.522265113057971,yes
NS-IBTS-1-2005,14,3.1323220330000003,0.2237372880714286,yes
NS-IBTS-1-2006,0,0,0,no
NS-IBTS-1-2007,57,25.147825059999988,0.44118991333333313,yes
NS-IBTS-1-2008,37,12.399284712000002,0.3351158030270271,yes
NS-IBTS-1-2009,24,10.80142626,0.4500594275,yes
NS-IBTS-1-2010,11,14.201431472,1.2910392247272726,yes
NS-IBTS-1-2011,0,0,0,no
NS-IBTS-1-2012,0,0,0,no
NS-IBTS-1-2013,0,0,0,no
NS-IBTS-1-2014,0,0,0,no
NS-IBTS-1-2015,25,14.424961705000003,0.5769984682000001,yes
NS-IBTS-1-2016,0,0,0,no
NS-IBTS-1-2017,16,3.7893791770000003,0.23683619856250002,yes
NS-IBTS-1-2018,0,0,0,no
NS-IBTS-1-2019,24,10.925391553999997,0.45522464808333324,yes
PT-IBTS-9-2005,7,1.452175074,0.207453582,yes
PT-IBTS-9-2006,42,25.278108746999994,0.6018597320714284,yes
PT-IBTS-9-2007,49,25.890849692000003,0.5283846875918368,yes
PT-IBTS-9-2008,0,0,0,no
PT-IBTS-9-2009,19,6.811479375,0.3584989144736842,yes
PT-IBTS-9-2010,28,11.989195074000001,0.4281855383571429,yes
PT-IBTS-9-2011,48,32.681794043000004,0.6808707092291667,yes
PT-IBTS-9-2013,0,0,0,no
PT-IBTS-9-2014,0,0,0,no
PT-IBTS-9-2015,53,37.59173426099999,0.7092780049245282,yes
PT-IBTS-9-2016,12,2.3945300649999997,0.1995441720833333,yes
PT-IBTS-9-2017,8,3.037791562,0.37972394525,yes
SCS-6-1984,37,24.545894829999998,0.663402562972973,yes
SCS-6-1985,11,9.380321694000001,0.8527565176363637,yes
SCS-6-1986,0,0,0,no
SCS-6-1987,0,0,0,no
SCS-6-1988,0,0,0,no
SCS-6-1989,0,0,0,no
SCS-6-1990,8,3.5765898259999997,0.44707372824999997,yes
SCS-6-1991,11,2.8013124510000003,0.25466476827272727,yes
SCS-6-1992,0,0,0,no
SCS-6-1993,0,0,0,no
SCS-6-1994,0,0,0,no
SCS-6-1995,49,35.259525761,0.7195821583877551,yes
SCS-6-1996,0,0,0,no
SCS-6-1997,0,0,0,no
SCS-6-1998,0,0,0,no
SCS-6-1999,17,4.990527626,0.2935604485882353,yes
SCS-6-2000,64,53.65661399399998,0.8383845936562497,yes
SCS-6-2001,0,0,0,no
SCS-6-2002,0,0,0,no
SCS-6-2003,0,0,0,no
SCS-6-2004,14,5.579880818,0.3985629155714286,yes
SCS-6-2005,0,0,0,no
SCS-6-2006,12,4.402362674000001,0.3668635561666667,yes
SCS-6-2007,0,0,0,no
SCS-6-2008,0,0,0,no
SCS-6-2009,0,0,0,no
SCS-6-2010,10,5.713018235999999,0.5713018235999999,yes
SCS-6-2011,17,14.928557572000003,0.8781504454117649,yes
SCS-6-2012,21,14.752553158000001,0.7025025313333334,yes
SCS-6-2013,98,37.483817759000004,0.38248793631632655,yes
SCS-6-2014,13,6.9852475279999995,0.5373267329230769,yes
SCS-6-2015,8,1.734263073,0.216782884125,yes
SCS-6-2016,14,2.860562473,0.20432589092857142,yes
SCS-6-2017,5,1.2548187190000002,0.2509637438,yes
SEUS-4-1990,19,8.080255401999999,0.4252766001052631,yes
SEUS-4-1991,10,2.263717684,0.2263717684,yes
SEUS-4-1992,0,0,0,no
SEUS-4-1993,48,24.211229857999996,0.5044006220416666,yes
SEUS-4-1994,8,2.4980202610000006,0.3122525326250001,yes
SEUS-4-1995,10,1.577158046,0.1577158046,yes
SEUS-4-1996,0,0,0,no
SEUS-4-1997,35,23.714502547000006,0.6775572156285716,yes
SEUS-4-1998,0,0,0,no
SEUS-4-1999,68,43.68987004100001,0.6424980888382354,yes
SEUS-4-2000,0,0,0,no
SEUS-4-2001,0,0,0,no
SEUS-4-2002,10,2.190796895,0.2190796895,yes
SEUS-4-2003,21,9.901916935000001,0.4715198540476191,yes
SEUS-4-2004,0,0,0,no
SEUS-4-2005,0,0,0,no
SEUS-4-2006,0,0,0,no
SEUS-4-2007,0,0,0,no
SEUS-4-2008,5,0.7101590449999999,0.14203180899999998,yes
SEUS-4-2009,0,0,0,no
SEUS-4-2010,0,0,0,no
SEUS-4-2011,8,1.509623543,0.188702942875,yes
SEUS-4-2012,14,8.456513953,0.6040367109285715,yes
SEUS-4-2013,12,3.3040052269999998,0.27533376891666667,yes
SEUS-4-2014,0,0,0,no
SEUS-4-2015,0,0,0,no
SEUS-4-2016,16,9.314820595,0.5821762871875,yes
SEUS-4-2017,17,3.101674857,0.18245146217647057,yes
SEUS-4-2018,33,19.784400255999998,0.5995272804848484,yes
SEUS-4-2019,63,37.301714577,0.5920907075714286,yes
SWC-IBTS-2-1990,20,4.674987257000001,0.23374936285000003,yes
