ref_yr,survey,year,wt_mt,wt_mt_med,num,num_med,depth_wt,wt_mt_log,wt_mt_log_med,num_log,num_log_med,depth_wt_log,CTI,cti_diff,cti_log
EBS-6-2002,EBS,2002,19.423598459383715,4964.0999999999995,41630.517254901955,8909.53,80.51929537356422,0.08227787453446588,-0.23088770667926098,-0.03955284240278563,-0.18037127436516107,-0.05015987177176461,5.99869249601772,-0.015165962698804769,-0.0025250208409176448
EVHOE-10-2002,EVHOE,2002,8.340863101736236,492.2447764970264,175428.62309713004,10596.053802092158,139.5044405398087,0.5488282593116363,0.32359102920144234,0.35236754121201824,0.1657236127160042,-0.14136573351151083,15.67386392217734,0.2197596664950794,0.014119991155670045
FR-CGFS-10-2002,FR-CGFS,2002,1.7449227950515334,114.27656750439915,23582.213366748074,1962.1348059682193,27.19104425874555,-0.11464865852069342,-0.6026557081584811,-0.18007461499477756,-0.37191394997213506,-0.020460010013188784,15.476150628770503,-0.01605223513650067,-0.0010366864727201974
GMEX-6-2002,GMEX,2002,0.7448876557645282,26.947498962343822,23508.462965902152,1024.2937116106636,63.60175371233422,-0.09395694439737924,-0.27575296672652,-0.33557908207834697,-0.6730957094813699,0.0957099198667468,24.70230177154162,0.2939065666376237,0.011969289526478908
GSL-S-8-2002,GSL-S,2002,3.9256260590223,225.43050467560028,30796.497665599883,1430.364446166247,NA,0.3005767650615248,-0.06721173250971717,0.302920349903937,0.16513671254539408,NA,6.123757856644275,0.459046867213595,0.0779200606406608
NEUS-9-2002,NEUS,2002,6.151337063815669,27.369791666666668,NA,NA,73.38436436526808,0.1950095464373848,1.2773247618598838,NA,NA,0.1543955551193405,14.91056659491135,-0.6096971725799172,-0.040076380883981466
Nor-BTS-8-2002,Nor-BTS,2002,3.8047462525309994,174.18618022795695,18874.812970850147,366.77450776108554,179.53900937200228,-0.20405040616824913,-0.3499335871712269,-0.04411634950240795,-0.08563387712485077,0.21552853540135816,7.573226917306027,-0.24632043923039504,-0.032007416412029456
NS-IBTS-1-2002,NS-IBTS,2002,4.886550351418642,557.4405571363026,90840.98233763863,6717.496123798051,81.82908106463623,-0.09508884783227031,-0.2661430174517924,-0.21773982254023838,-0.37743351441680134,0.11700005675487903,7.987130361911315,0.12843350736797898,0.016210743455519247
SCS-6-2002,SCS,2002,2.055561182593926,63.26561321388133,6883.094621234924,129.63162444371488,128.96045303726237,0.055420179003098674,0.5390197994049939,-0.013349054038042223,0.16468961732574805,-0.17947005770483032,11.431455055109291,1.3297611116711803,0.1236656441576179
SEUS-4-2002,SEUS,2002,3.9369947629501842,146.61133468973873,34971.84600236215,1869.91337697648,8.421016155337036,0.12774215065864436,-0.1254249400593563,0.15241955121200884,-0.6155570165779592,0.005910063558391085,23.113260988539075,-0.05107690872577919,-0.002207414848464265
