survey,year,month_year,ref_yr,survey_date
GSL-N,2007,7-2007,GSL-N-7-2007,2007-07-01
GSL-N,2008,7-2008,GSL-N-7-2008,2008-07-01
GSL-N,2009,7-2009,GSL-N-7-2009,2009-07-01
GSL-N,2010,7-2010,GSL-N-7-2010,2010-07-01
GSL-N,2011,7-2011,GSL-N-7-2011,2011-07-01
GSL-N,2012,7-2012,GSL-N-7-2012,2012-07-01
GSL-N,2013,7-2013,GSL-N-7-2013,2013-07-01
GSL-N,2014,7-2014,GSL-N-7-2014,2014-07-01
GSL-N,1996,7-1996,GSL-N-7-1996,1996-07-01
GSL-N,2015,7-2015,GSL-N-7-2015,2015-07-01
GSL-N,2016,7-2016,GSL-N-7-2016,2016-07-01
GSL-N,2017,7-2017,GSL-N-7-2017,2017-07-01
GSL-N,2018,7-2018,GSL-N-7-2018,2018-07-01
GSL-N,2019,7-2019,GSL-N-7-2019,2019-07-01
GSL-N,1997,7-1997,GSL-N-7-1997,1997-07-01
GSL-N,1990,7-1990,GSL-N-7-1990,1990-07-01
GSL-N,1991,7-1991,GSL-N-7-1991,1991-07-01
GSL-N,1992,7-1992,GSL-N-7-1992,1992-07-01
GSL-N,1993,7-1993,GSL-N-7-1993,1993-07-01
GSL-N,1994,7-1994,GSL-N-7-1994,1994-07-01
GSL-N,1987,7-1987,GSL-N-7-1987,1987-07-01
GSL-N,1988,7-1988,GSL-N-7-1988,1988-07-01
GSL-N,1989,7-1989,GSL-N-7-1989,1989-07-01
NEUS,1963,9-1963,NEUS-9-1963,1963-09-01
NEUS,1964,9-1964,NEUS-9-1964,1964-09-01
NEUS,1965,9-1965,NEUS-9-1965,1965-09-01
NEUS,1966,9-1966,NEUS-9-1966,1966-09-01
NEUS,1967,9-1967,NEUS-9-1967,1967-09-01
NEUS,1968,9-1968,NEUS-9-1968,1968-09-01
NEUS,1969,9-1969,NEUS-9-1969,1969-09-01
NEUS,1970,9-1970,NEUS-9-1970,1970-09-01
NEUS,1971,9-1971,NEUS-9-1971,1971-09-01
NEUS,1972,9-1972,NEUS-9-1972,1972-09-01
NEUS,1973,9-1973,NEUS-9-1973,1973-09-01
NEUS,1974,9-1974,NEUS-9-1974,1974-09-01
NEUS,1975,9-1975,NEUS-9-1975,1975-09-01
NEUS,1976,9-1976,NEUS-9-1976,1976-09-01
NEUS,1977,9-1977,NEUS-9-1977,1977-09-01
NEUS,1978,9-1978,NEUS-9-1978,1978-09-01
NEUS,1979,9-1979,NEUS-9-1979,1979-09-01
NEUS,1980,9-1980,NEUS-9-1980,1980-09-01
NEUS,1981,9-1981,NEUS-9-1981,1981-09-01
NEUS,1982,9-1982,NEUS-9-1982,1982-09-01
NEUS,1983,9-1983,NEUS-9-1983,1983-09-01
NEUS,1984,9-1984,NEUS-9-1984,1984-09-01
NEUS,1985,9-1985,NEUS-9-1985,1985-09-01
NEUS,1986,9-1986,NEUS-9-1986,1986-09-01
NEUS,1987,9-1987,NEUS-9-1987,1987-09-01
NEUS,1988,9-1988,NEUS-9-1988,1988-09-01
NEUS,1989,9-1989,NEUS-9-1989,1989-09-01
NEUS,1990,9-1990,NEUS-9-1990,1990-09-01
NEUS,1991,9-1991,NEUS-9-1991,1991-09-01
NEUS,1992,9-1992,NEUS-9-1992,1992-09-01
NEUS,1993,9-1993,NEUS-9-1993,1993-09-01
NEUS,1994,9-1994,NEUS-9-1994,1994-09-01
NEUS,1995,9-1995,NEUS-9-1995,1995-09-01
NEUS,1996,9-1996,NEUS-9-1996,1996-09-01
NEUS,1997,9-1997,NEUS-9-1997,1997-09-01
NEUS,1998,9-1998,NEUS-9-1998,1998-09-01
NEUS,1999,9-1999,NEUS-9-1999,1999-09-01
NEUS,2000,9-2000,NEUS-9-2000,2000-09-01
NEUS,2001,9-2001,NEUS-9-2001,2001-09-01
NEUS,2002,9-2002,NEUS-9-2002,2002-09-01
NEUS,2003,9-2003,NEUS-9-2003,2003-09-01
NEUS,2004,9-2004,NEUS-9-2004,2004-09-01
NEUS,2005,9-2005,NEUS-9-2005,2005-09-01
NEUS,2006,9-2006,NEUS-9-2006,2006-09-01
NEUS,2007,9-2007,NEUS-9-2007,2007-09-01
NEUS,2008,9-2008,NEUS-9-2008,2008-09-01
NEUS,2009,9-2009,NEUS-9-2009,2009-09-01
NEUS,2010,9-2010,NEUS-9-2010,2010-09-01
NEUS,2011,9-2011,NEUS-9-2011,2011-09-01
NEUS,2012,9-2012,NEUS-9-2012,2012-09-01
NEUS,2013,9-2013,NEUS-9-2013,2013-09-01
NEUS,2014,9-2014,NEUS-9-2014,2014-09-01
NEUS,2015,9-2015,NEUS-9-2015,2015-09-01
NEUS,2016,9-2016,NEUS-9-2016,2016-09-01
NEUS,2017,9-2017,NEUS-9-2017,2017-09-01
NEUS,2018,9-2018,NEUS-9-2018,2018-09-01
NEUS,2019,9-2019,NEUS-9-2019,2019-09-01
NIGFS,2006,10-2006,NIGFS-10-2006,2006-10-01
NIGFS,2007,10-2007,NIGFS-10-2007,2007-10-01
NIGFS,2009,10-2009,NIGFS-10-2009,2009-10-01
NIGFS,2010,10-2010,NIGFS-10-2010,2010-10-01
NIGFS,2011,10-2011,NIGFS-10-2011,2011-10-01
NIGFS,2012,10-2012,NIGFS-10-2012,2012-10-01
NIGFS,2013,10-2013,NIGFS-10-2013,2013-10-01
NIGFS,2014,10-2014,NIGFS-10-2014,2014-10-01
NIGFS,2015,10-2015,NIGFS-10-2015,2015-10-01
NIGFS,2016,10-2016,NIGFS-10-2016,2016-10-01
NIGFS,2017,10-2017,NIGFS-10-2017,2017-10-01
NIGFS,2018,10-2018,NIGFS-10-2018,2018-10-01
NIGFS,2019,10-2019,NIGFS-10-2019,2019-10-01
Nor-BTS,1980,8-1980,Nor-BTS-8-1980,1980-08-01
Nor-BTS,1981,8-1981,Nor-BTS-8-1981,1981-08-01
Nor-BTS,1982,8-1982,Nor-BTS-8-1982,1982-08-01
Nor-BTS,1983,8-1983,Nor-BTS-8-1983,1983-08-01
Nor-BTS,1984,8-1984,Nor-BTS-8-1984,1984-08-01
Nor-BTS,1985,8-1985,Nor-BTS-8-1985,1985-08-01
Nor-BTS,1986,8-1986,Nor-BTS-8-1986,1986-08-01
Nor-BTS,1987,8-1987,Nor-BTS-8-1987,1987-08-01
Nor-BTS,1988,8-1988,Nor-BTS-8-1988,1988-08-01
Nor-BTS,1989,8-1989,Nor-BTS-8-1989,1989-08-01
Nor-BTS,1990,8-1990,Nor-BTS-8-1990,1990-08-01
Nor-BTS,1991,8-1991,Nor-BTS-8-1991,1991-08-01
Nor-BTS,1992,8-1992,Nor-BTS-8-1992,1992-08-01
Nor-BTS,1993,8-1993,Nor-BTS-8-1993,1993-08-01
Nor-BTS,1994,8-1994,Nor-BTS-8-1994,1994-08-01
Nor-BTS,1995,8-1995,Nor-BTS-8-1995,1995-08-01
Nor-BTS,1996,8-1996,Nor-BTS-8-1996,1996-08-01
Nor-BTS,1997,8-1997,Nor-BTS-8-1997,1997-08-01
Nor-BTS,1998,8-1998,Nor-BTS-8-1998,1998-08-01
Nor-BTS,1999,8-1999,Nor-BTS-8-1999,1999-08-01
Nor-BTS,2000,8-2000,Nor-BTS-8-2000,2000-08-01
Nor-BTS,2001,8-2001,Nor-BTS-8-2001,2001-08-01
Nor-BTS,2002,8-2002,Nor-BTS-8-2002,2002-08-01
Nor-BTS,2003,8-2003,Nor-BTS-8-2003,2003-08-01
Nor-BTS,2004,8-2004,Nor-BTS-8-2004,2004-08-01
Nor-BTS,2005,8-2005,Nor-BTS-8-2005,2005-08-01
Nor-BTS,2006,8-2006,Nor-BTS-8-2006,2006-08-01
Nor-BTS,2007,8-2007,Nor-BTS-8-2007,2007-08-01
Nor-BTS,2008,8-2008,Nor-BTS-8-2008,2008-08-01
Nor-BTS,2009,8-2009,Nor-BTS-8-2009,2009-08-01
Nor-BTS,2010,8-2010,Nor-BTS-8-2010,2010-08-01
Nor-BTS,2011,8-2011,Nor-BTS-8-2011,2011-08-01
Nor-BTS,2012,8-2012,Nor-BTS-8-2012,2012-08-01
Nor-BTS,2013,8-2013,Nor-BTS-8-2013,2013-08-01
Nor-BTS,2014,8-2014,Nor-BTS-8-2014,2014-08-01
Nor-BTS,2015,8-2015,Nor-BTS-8-2015,2015-08-01
Nor-BTS,2016,8-2016,Nor-BTS-8-2016,2016-08-01
Nor-BTS,2017,8-2017,Nor-BTS-8-2017,2017-08-01
NZ,2000,11-2000,NZ-11-2000,2000-11-01
NZ,2001,11-2001,NZ-11-2001,2001-11-01
NZ,2002,11-2002,NZ-11-2002,2002-11-01
NZ,2003,11-2003,NZ-11-2003,2003-11-01
NZ,2004,11-2004,NZ-11-2004,2004-11-01
NZ,2005,11-2005,NZ-11-2005,2005-11-01
NZ,2006,11-2006,NZ-11-2006,2006-11-01
NZ,2007,11-2007,NZ-11-2007,2007-11-01
NZ,2008,11-2008,NZ-11-2008,2008-11-01
NZ,2009,11-2009,NZ-11-2009,2009-11-01
NZ,2010,11-2010,NZ-11-2010,2010-11-01
NZ,2011,11-2011,NZ-11-2011,2011-11-01
NZ,2012,11-2012,NZ-11-2012,2012-11-01
NZ,2013,11-2013,NZ-11-2013,2013-11-01
NZ,2014,11-2014,NZ-11-2014,2014-11-01
NZ,2016,11-2016,NZ-11-2016,2016-11-01
NZ,2018,11-2018,NZ-11-2018,2018-11-01
NZ,1991,11-1991,NZ-11-1991,1991-11-01
NZ,1992,11-1992,NZ-11-1992,1992-11-01
NZ,1993,11-1993,NZ-11-1993,1993-11-01
NZ,1994,11-1994,NZ-11-1994,1994-11-01
NZ,1995,11-1995,NZ-11-1995,1995-11-01
NZ,1996,11-1996,NZ-11-1996,1996-11-01
NZ,1997,11-1997,NZ-11-1997,1997-11-01
NZ,1998,11-1998,NZ-11-1998,1998-11-01
NZ,1999,11-1999,NZ-11-1999,1999-11-01
SCS,1970,6-1970,SCS-6-1970,1970-06-01
SCS,1971,6-1971,SCS-6-1971,1971-06-01
SCS,1972,6-1972,SCS-6-1972,1972-06-01
SCS,1973,6-1973,SCS-6-1973,1973-06-01
SCS,1974,6-1974,SCS-6-1974,1974-06-01
SCS,1975,6-1975,SCS-6-1975,1975-06-01
SCS,1976,6-1976,SCS-6-1976,1976-06-01
SCS,1977,6-1977,SCS-6-1977,1977-06-01
SCS,1978,6-1978,SCS-6-1978,1978-06-01
SCS,1979,6-1979,SCS-6-1979,1979-06-01
SCS,1980,6-1980,SCS-6-1980,1980-06-01
SCS,1981,6-1981,SCS-6-1981,1981-06-01
SCS,1982,6-1982,SCS-6-1982,1982-06-01
SCS,1991,6-1991,SCS-6-1991,1991-06-01
SCS,1983,6-1983,SCS-6-1983,1983-06-01
SCS,1984,6-1984,SCS-6-1984,1984-06-01
SCS,1985,6-1985,SCS-6-1985,1985-06-01
SCS,1986,6-1986,SCS-6-1986,1986-06-01
SCS,1987,6-1987,SCS-6-1987,1987-06-01
SCS,1988,6-1988,SCS-6-1988,1988-06-01
SCS,1989,6-1989,SCS-6-1989,1989-06-01
SCS,1990,6-1990,SCS-6-1990,1990-06-01
SCS,1992,6-1992,SCS-6-1992,1992-06-01
SCS,1993,6-1993,SCS-6-1993,1993-06-01
SCS,1994,6-1994,SCS-6-1994,1994-06-01
SCS,1995,6-1995,SCS-6-1995,1995-06-01
SCS,1996,6-1996,SCS-6-1996,1996-06-01
SCS,1997,6-1997,SCS-6-1997,1997-06-01
SCS,1998,6-1998,SCS-6-1998,1998-06-01
SCS,1999,6-1999,SCS-6-1999,1999-06-01
SCS,2000,6-2000,SCS-6-2000,2000-06-01
SCS,2001,6-2001,SCS-6-2001,2001-06-01
SCS,2002,6-2002,SCS-6-2002,2002-06-01
SCS,2003,6-2003,SCS-6-2003,2003-06-01
SCS,2005,6-2005,SCS-6-2005,2005-06-01
SCS,2006,6-2006,SCS-6-2006,2006-06-01
SCS,2009,6-2009,SCS-6-2009,2009-06-01
SCS,2010,6-2010,SCS-6-2010,2010-06-01
SCS,2011,6-2011,SCS-6-2011,2011-06-01
SCS,2012,6-2012,SCS-6-2012,2012-06-01
SCS,2013,6-2013,SCS-6-2013,2013-06-01
SCS,2014,6-2014,SCS-6-2014,2014-06-01
SCS,2015,6-2015,SCS-6-2015,2015-06-01
SCS,2016,6-2016,SCS-6-2016,2016-06-01
SCS,2017,6-2017,SCS-6-2017,2017-06-01
SCS,2019,6-2019,SCS-6-2019,2019-06-01
SCS,2004,6-2004,SCS-6-2004,2004-06-01
SCS,2007,6-2007,SCS-6-2007,2007-06-01
SCS,2018,6-2018,SCS-6-2018,2018-06-01
SCS,2008,6-2008,SCS-6-2008,2008-06-01
GMEX,2001,6-2001,GMEX-6-2001,2001-06-01
GMEX,2003,6-2003,GMEX-6-2003,2003-06-01
GMEX,2004,6-2004,GMEX-6-2004,2004-06-01
GMEX,2005,6-2005,GMEX-6-2005,2005-06-01
GMEX,2006,6-2006,GMEX-6-2006,2006-06-01
GMEX,2010,6-2010,GMEX-6-2010,2010-06-01
GMEX,2011,6-2011,GMEX-6-2011,2011-06-01
GMEX,2012,6-2012,GMEX-6-2012,2012-06-01
GMEX,2013,6-2013,GMEX-6-2013,2013-06-01
GMEX,2014,6-2014,GMEX-6-2014,2014-06-01
GMEX,2015,6-2015,GMEX-6-2015,2015-06-01
GMEX,2016,6-2016,GMEX-6-2016,2016-06-01
GMEX,2017,6-2017,GMEX-6-2017,2017-06-01
GMEX,2018,6-2018,GMEX-6-2018,2018-06-01
GMEX,2019,6-2019,GMEX-6-2019,2019-06-01
GMEX,2007,6-2007,GMEX-6-2007,2007-06-01
GMEX,2008,6-2008,GMEX-6-2008,2008-06-01
GMEX,1987,6-1987,GMEX-6-1987,1987-06-01
GMEX,1988,6-1988,GMEX-6-1988,1988-06-01
GMEX,1989,6-1989,GMEX-6-1989,1989-06-01
GMEX,1990,6-1990,GMEX-6-1990,1990-06-01
GMEX,2009,6-2009,GMEX-6-2009,2009-06-01
GMEX,1991,6-1991,GMEX-6-1991,1991-06-01
GMEX,1992,6-1992,GMEX-6-1992,1992-06-01
GMEX,1993,6-1993,GMEX-6-1993,1993-06-01
GMEX,1994,6-1994,GMEX-6-1994,1994-06-01
GMEX,1995,6-1995,GMEX-6-1995,1995-06-01
GMEX,1996,6-1996,GMEX-6-1996,1996-06-01
GMEX,1997,6-1997,GMEX-6-1997,1997-06-01
GMEX,1998,6-1998,GMEX-6-1998,1998-06-01
GMEX,1999,6-1999,GMEX-6-1999,1999-06-01
GMEX,2000,6-2000,GMEX-6-2000,2000-06-01
GMEX,2002,6-2002,GMEX-6-2002,2002-06-01
SEUS,1989,7-1989,SEUS-7-1989,1989-07-01
SEUS,1990,7-1990,SEUS-7-1990,1990-07-01
SEUS,1991,7-1991,SEUS-7-1991,1991-07-01
SEUS,1992,7-1992,SEUS-7-1992,1992-07-01
SEUS,1993,7-1993,SEUS-7-1993,1993-07-01
SEUS,1994,7-1994,SEUS-7-1994,1994-07-01
SEUS,1995,7-1995,SEUS-7-1995,1995-07-01
SEUS,1996,7-1996,SEUS-7-1996,1996-07-01
SEUS,1997,7-1997,SEUS-7-1997,1997-07-01
SEUS,1998,7-1998,SEUS-7-1998,1998-07-01
SEUS,1999,7-1999,SEUS-7-1999,1999-07-01
SEUS,2000,7-2000,SEUS-7-2000,2000-07-01
SEUS,2001,7-2001,SEUS-7-2001,2001-07-01
SEUS,2002,7-2002,SEUS-7-2002,2002-07-01
SEUS,2003,7-2003,SEUS-7-2003,2003-07-01
SEUS,2004,7-2004,SEUS-7-2004,2004-07-01
SEUS,2005,7-2005,SEUS-7-2005,2005-07-01
SEUS,2006,7-2006,SEUS-7-2006,2006-07-01
SEUS,2007,7-2007,SEUS-7-2007,2007-07-01
SEUS,2008,7-2008,SEUS-7-2008,2008-07-01
SEUS,2009,7-2009,SEUS-7-2009,2009-07-01
SEUS,2010,7-2010,SEUS-7-2010,2010-07-01
SEUS,2011,7-2011,SEUS-7-2011,2011-07-01
SEUS,2012,7-2012,SEUS-7-2012,2012-07-01
SEUS,2013,7-2013,SEUS-7-2013,2013-07-01
SEUS,2014,7-2014,SEUS-7-2014,2014-07-01
SEUS,2015,7-2015,SEUS-7-2015,2015-07-01
SEUS,2016,7-2016,SEUS-7-2016,2016-07-01
SEUS,2017,7-2017,SEUS-7-2017,2017-07-01
SEUS,2018,7-2018,SEUS-7-2018,2018-07-01
SEUS,2019,7-2019,SEUS-7-2019,2019-07-01
