survey,year,month_year,ref_yr,survey_date
ROCKALL,2019,8-2019,ROCKALL-8-2019,2019-08-01
WCANN,2003,5-2003,WCANN-5-2003,2003-05-01
WCANN,2004,5-2004,WCANN-5-2004,2004-05-01
WCANN,2005,5-2005,WCANN-5-2005,2005-05-01
WCANN,2006,5-2006,WCANN-5-2006,2006-05-01
WCANN,2007,5-2007,WCANN-5-2007,2007-05-01
WCANN,2008,5-2008,WCANN-5-2008,2008-05-01
WCANN,2009,5-2009,WCANN-5-2009,2009-05-01
WCANN,2010,5-2010,WCANN-5-2010,2010-05-01
WCANN,2011,5-2011,WCANN-5-2011,2011-05-01
WCANN,2012,5-2012,WCANN-5-2012,2012-05-01
WCANN,2013,5-2013,WCANN-5-2013,2013-05-01
WCANN,2014,5-2014,WCANN-5-2014,2014-05-01
WCANN,2015,5-2015,WCANN-5-2015,2015-05-01
WCANN,2016,5-2016,WCANN-5-2016,2016-05-01
WCANN,2017,5-2017,WCANN-5-2017,2017-05-01
WCANN,2018,5-2018,WCANN-5-2018,2018-05-01
WCTRI,1977,1-1977,WCTRI-1-1977,1977-01-01
WCTRI,1980,1-1980,WCTRI-1-1980,1980-01-01
WCTRI,1986,1-1986,WCTRI-1-1986,1986-01-01
WCTRI,1989,1-1989,WCTRI-1-1989,1989-01-01
WCTRI,1998,1-1998,WCTRI-1-1998,1998-01-01
WCTRI,1992,1-1992,WCTRI-1-1992,1992-01-01
WCTRI,1995,1-1995,WCTRI-1-1995,1995-01-01
WCTRI,1983,1-1983,WCTRI-1-1983,1983-01-01
WCTRI,2001,1-2001,WCTRI-1-2001,2001-01-01
BITS,1992,2-1992,BITS-2-1992,1992-02-01
BITS,1993,2-1993,BITS-2-1993,1993-02-01
BITS,1994,2-1994,BITS-2-1994,1994-02-01
BITS,1995,2-1995,BITS-2-1995,1995-02-01
BITS,1996,2-1996,BITS-2-1996,1996-02-01
BITS,1997,2-1997,BITS-2-1997,1997-02-01
BITS,1998,2-1998,BITS-2-1998,1998-02-01
BITS,1999,2-1999,BITS-2-1999,1999-02-01
BITS,2000,2-2000,BITS-2-2000,2000-02-01
BITS,2001,2-2001,BITS-2-2001,2001-02-01
BITS,2002,2-2002,BITS-2-2002,2002-02-01
BITS,2003,2-2003,BITS-2-2003,2003-02-01
BITS,2004,2-2004,BITS-2-2004,2004-02-01
BITS,2005,2-2005,BITS-2-2005,2005-02-01
BITS,2006,2-2006,BITS-2-2006,2006-02-01
BITS,2007,2-2007,BITS-2-2007,2007-02-01
BITS,2008,2-2008,BITS-2-2008,2008-02-01
BITS,2009,2-2009,BITS-2-2009,2009-02-01
BITS,2010,2-2010,BITS-2-2010,2010-02-01
BITS,2011,2-2011,BITS-2-2011,2011-02-01
BITS,2012,2-2012,BITS-2-2012,2012-02-01
BITS,2013,2-2013,BITS-2-2013,2013-02-01
BITS,2014,2-2014,BITS-2-2014,2014-02-01
BITS,2015,2-2015,BITS-2-2015,2015-02-01
BITS,2016,2-2016,BITS-2-2016,2016-02-01
BITS,2017,2-2017,BITS-2-2017,2017-02-01
BITS,2018,2-2018,BITS-2-2018,2018-02-01
BITS,2019,2-2019,BITS-2-2019,2019-02-01
EVHOE,1997,10-1997,EVHOE-10-1997,1997-10-01
EVHOE,1998,10-1998,EVHOE-10-1998,1998-10-01
EVHOE,1999,10-1999,EVHOE-10-1999,1999-10-01
EVHOE,2000,10-2000,EVHOE-10-2000,2000-10-01
EVHOE,2001,10-2001,EVHOE-10-2001,2001-10-01
EVHOE,2002,10-2002,EVHOE-10-2002,2002-10-01
EVHOE,2003,10-2003,EVHOE-10-2003,2003-10-01
EVHOE,2004,10-2004,EVHOE-10-2004,2004-10-01
EVHOE,2005,10-2005,EVHOE-10-2005,2005-10-01
EVHOE,2006,10-2006,EVHOE-10-2006,2006-10-01
EVHOE,2007,10-2007,EVHOE-10-2007,2007-10-01
EVHOE,2008,10-2008,EVHOE-10-2008,2008-10-01
EVHOE,2009,10-2009,EVHOE-10-2009,2009-10-01
EVHOE,2010,10-2010,EVHOE-10-2010,2010-10-01
EVHOE,2011,10-2011,EVHOE-10-2011,2011-10-01
EVHOE,2012,10-2012,EVHOE-10-2012,2012-10-01
EVHOE,2013,10-2013,EVHOE-10-2013,2013-10-01
EVHOE,2014,10-2014,EVHOE-10-2014,2014-10-01
EVHOE,2015,10-2015,EVHOE-10-2015,2015-10-01
EVHOE,2016,10-2016,EVHOE-10-2016,2016-10-01
EVHOE,2017,10-2017,EVHOE-10-2017,2017-10-01
EVHOE,2018,10-2018,EVHOE-10-2018,2018-10-01
EVHOE,2019,10-2019,EVHOE-10-2019,2019-10-01
FR-CGFS,1998,10-1998,FR-CGFS-10-1998,1998-10-01
FR-CGFS,1999,10-1999,FR-CGFS-10-1999,1999-10-01
FR-CGFS,2000,10-2000,FR-CGFS-10-2000,2000-10-01
FR-CGFS,2001,10-2001,FR-CGFS-10-2001,2001-10-01
FR-CGFS,2002,10-2002,FR-CGFS-10-2002,2002-10-01
FR-CGFS,2003,10-2003,FR-CGFS-10-2003,2003-10-01
FR-CGFS,2004,10-2004,FR-CGFS-10-2004,2004-10-01
FR-CGFS,2005,10-2005,FR-CGFS-10-2005,2005-10-01
FR-CGFS,2006,10-2006,FR-CGFS-10-2006,2006-10-01
FR-CGFS,2007,10-2007,FR-CGFS-10-2007,2007-10-01
FR-CGFS,2008,10-2008,FR-CGFS-10-2008,2008-10-01
FR-CGFS,2009,10-2009,FR-CGFS-10-2009,2009-10-01
FR-CGFS,2010,10-2010,FR-CGFS-10-2010,2010-10-01
FR-CGFS,2011,10-2011,FR-CGFS-10-2011,2011-10-01
FR-CGFS,2012,10-2012,FR-CGFS-10-2012,2012-10-01
FR-CGFS,2013,10-2013,FR-CGFS-10-2013,2013-10-01
FR-CGFS,2014,10-2014,FR-CGFS-10-2014,2014-10-01
FR-CGFS,2015,10-2015,FR-CGFS-10-2015,2015-10-01
FR-CGFS,2016,10-2016,FR-CGFS-10-2016,2016-10-01
FR-CGFS,2017,10-2017,FR-CGFS-10-2017,2017-10-01
FR-CGFS,2018,10-2018,FR-CGFS-10-2018,2018-10-01
FR-CGFS,2019,10-2019,FR-CGFS-10-2019,2019-10-01
IE-IGFS,2003,10-2003,IE-IGFS-10-2003,2003-10-01
IE-IGFS,2004,10-2004,IE-IGFS-10-2004,2004-10-01
IE-IGFS,2005,10-2005,IE-IGFS-10-2005,2005-10-01
IE-IGFS,2006,10-2006,IE-IGFS-10-2006,2006-10-01
IE-IGFS,2007,10-2007,IE-IGFS-10-2007,2007-10-01
IE-IGFS,2008,10-2008,IE-IGFS-10-2008,2008-10-01
IE-IGFS,2009,10-2009,IE-IGFS-10-2009,2009-10-01
IE-IGFS,2010,10-2010,IE-IGFS-10-2010,2010-10-01
IE-IGFS,2011,10-2011,IE-IGFS-10-2011,2011-10-01
IE-IGFS,2012,10-2012,IE-IGFS-10-2012,2012-10-01
IE-IGFS,2013,10-2013,IE-IGFS-10-2013,2013-10-01
IE-IGFS,2014,10-2014,IE-IGFS-10-2014,2014-10-01
IE-IGFS,2015,10-2015,IE-IGFS-10-2015,2015-10-01
IE-IGFS,2016,10-2016,IE-IGFS-10-2016,2016-10-01
IE-IGFS,2017,10-2017,IE-IGFS-10-2017,2017-10-01
IE-IGFS,2018,10-2018,IE-IGFS-10-2018,2018-10-01
IE-IGFS,2019,10-2019,IE-IGFS-10-2019,2019-10-01
NS-IBTS,1967,1-1967,NS-IBTS-1-1967,1967-01-01
NS-IBTS,1968,1-1968,NS-IBTS-1-1968,1968-01-01
NS-IBTS,1970,1-1970,NS-IBTS-1-1970,1970-01-01
NS-IBTS,1971,1-1971,NS-IBTS-1-1971,1971-01-01
NS-IBTS,1972,1-1972,NS-IBTS-1-1972,1972-01-01
NS-IBTS,1973,1-1973,NS-IBTS-1-1973,1973-01-01
NS-IBTS,1974,1-1974,NS-IBTS-1-1974,1974-01-01
NS-IBTS,1975,1-1975,NS-IBTS-1-1975,1975-01-01
NS-IBTS,1976,1-1976,NS-IBTS-1-1976,1976-01-01
NS-IBTS,1977,1-1977,NS-IBTS-1-1977,1977-01-01
NS-IBTS,1978,1-1978,NS-IBTS-1-1978,1978-01-01
NS-IBTS,1979,1-1979,NS-IBTS-1-1979,1979-01-01
NS-IBTS,1980,1-1980,NS-IBTS-1-1980,1980-01-01
NS-IBTS,1981,1-1981,NS-IBTS-1-1981,1981-01-01
NS-IBTS,1982,1-1982,NS-IBTS-1-1982,1982-01-01
NS-IBTS,1983,1-1983,NS-IBTS-1-1983,1983-01-01
NS-IBTS,1984,1-1984,NS-IBTS-1-1984,1984-01-01
NS-IBTS,1985,1-1985,NS-IBTS-1-1985,1985-01-01
NS-IBTS,1986,1-1986,NS-IBTS-1-1986,1986-01-01
NS-IBTS,1987,1-1987,NS-IBTS-1-1987,1987-01-01
NS-IBTS,1988,1-1988,NS-IBTS-1-1988,1988-01-01
NS-IBTS,1989,1-1989,NS-IBTS-1-1989,1989-01-01
NS-IBTS,1990,1-1990,NS-IBTS-1-1990,1990-01-01
NS-IBTS,1991,1-1991,NS-IBTS-1-1991,1991-01-01
NS-IBTS,1992,1-1992,NS-IBTS-1-1992,1992-01-01
NS-IBTS,1993,1-1993,NS-IBTS-1-1993,1993-01-01
NS-IBTS,1994,1-1994,NS-IBTS-1-1994,1994-01-01
NS-IBTS,1995,1-1995,NS-IBTS-1-1995,1995-01-01
NS-IBTS,1996,1-1996,NS-IBTS-1-1996,1996-01-01
NS-IBTS,1997,1-1997,NS-IBTS-1-1997,1997-01-01
