ref_year,region,year,wt,wtMt,wtMtDiff,wtMtDiffProp,wtMtAnom,wtMtAnomProp,wtMtZ,wtMtLog,CTI,ctiDiff,ctiDiffProp,ctiAnom,ctiAnomProp,ctiZ,ctiLog,anomDays,anomSev,anomIntC,mhwYesNo,metric
rockall-8-2006,rockall,2006,5535.907713798812,5.535907713798813,0.7257129140709235,0.1508697556514711,-2.144521858973725,-0.279218999231,-0.5829041277156535,0.14051796577957962,8.437113471584592,-1.0430584233820337,-0.11002526483046494,-2.053080859333212,-0.1957142827451877,-1.4091087165085747,-0.11656220410884341,1,0.018110267,0.018110267,no,soda_b
rockall-8-2006,rockall,2006,5535.907713798812,5.535907713798813,0.7257129140709235,0.1508697556514711,-2.144521858973725,-0.279218999231,-0.5829041277156535,0.14051796577957962,8.437113471584592,-1.0430584233820337,-0.11002526483046494,-2.053080859333212,-0.1957142827451877,-1.4091087165085747,-0.11656220410884341,0,0,0,no,soda_s
rockall-8-2006,rockall,2006,5535.907713798812,5.535907713798813,0.7257129140709235,0.1508697556514711,-2.144521858973725,-0.279218999231,-0.5829041277156535,0.14051796577957962,8.437113471584592,-1.0430584233820337,-0.11002526483046494,-2.053080859333212,-0.1957142827451877,-1.4091087165085747,-0.11656220410884341,38,4.877974240999999,0.1283677431842105,yes,sst
scotian_shelf-6-2006,scotian_shelf,2006,168.10282897325806,0.16810282897325807,0.016336737259114803,0.10764418503894545,-0.02257066591510709,-0.1183733792068042,-0.5370737220460573,0.10223540411463437,8.86210471429253,-0.26128801602897234,-0.028639347636607193,-0.4860421877434611,-0.051993426380323886,-0.4701142033891791,-0.029057456002280265,0,0,0,no,soda_b
scotian_shelf-6-2006,scotian_shelf,2006,168.10282897325806,0.16810282897325807,0.016336737259114803,0.10764418503894545,-0.02257066591510709,-0.1183733792068042,-0.5370737220460573,0.10223540411463437,8.86210471429253,-0.26128801602897234,-0.028639347636607193,-0.4860421877434611,-0.051993426380323886,-0.4701142033891791,-0.029057456002280265,0,0,0,no,soda_s
scotian_shelf-6-2006,scotian_shelf,2006,168.10282897325806,0.16810282897325807,0.016336737259114803,0.10764418503894545,-0.02257066591510709,-0.1183733792068042,-0.5370737220460573,0.10223540411463437,8.86210471429253,-0.26128801602897234,-0.028639347636607193,-0.4860421877434611,-0.051993426380323886,-0.4701142033891791,-0.029057456002280265,11,4.182199905000001,0.38019999136363647,yes,sst
southeast-4-2006,southeast,2006,65.5054978400178,0.0655054978400178,-0.019191243809876288,-0.22658774630558987,0.0042119407082101545,0.06871751135527444,0.17660478760621848,-0.25694305600581413,23.875170219110526,0.4896893209919426,0.02093988672396039,0.529078401605755,0.02266239701880445,1.1396783377346522,0.02072366058727905,2,0.877268295,0.4386341475,no,soda_b
southeast-4-2006,southeast,2006,65.5054978400178,0.0655054978400178,-0.019191243809876288,-0.22658774630558987,0.0042119407082101545,0.06871751135527444,0.17660478760621848,-0.25694305600581413,23.875170219110526,0.4896893209919426,0.02093988672396039,0.529078401605755,0.02266239701880445,1.1396783377346522,0.02072366058727905,0,0,0,no,soda_s
southeast-4-2006,southeast,2006,65.5054978400178,0.0655054978400178,-0.019191243809876288,-0.22658774630558987,0.0042119407082101545,0.06871751135527444,0.17660478760621848,-0.25694305600581413,23.875170219110526,0.4896893209919426,0.02093988672396039,0.529078401605755,0.02266239701880445,1.1396783377346522,0.02072366058727905,6,1.867857111,0.3113095185,no,sst
swc_ibts-1-2006,swc_ibts,2006,20172.31650761671,20.17231650761671,8.261165076083582,0.6935656156812253,11.511152704884013,1.3290538046690807,2.5087942635051594,0.5268361381296005,13.862989365060697,1.4512642791453505,0.11692687914850974,3.03881044401159,0.2807428134897331,1.7878112995282958,0.11058105612564328,2,0.016439126,0.008219563,no,soda_b
swc_ibts-1-2006,swc_ibts,2006,20172.31650761671,20.17231650761671,8.261165076083582,0.6935656156812253,11.511152704884013,1.3290538046690807,2.5087942635051594,0.5268361381296005,13.862989365060697,1.4512642791453505,0.11692687914850974,3.03881044401159,0.2807428134897331,1.7878112995282958,0.11058105612564328,0,0,0,no,soda_s
swc_ibts-1-2006,swc_ibts,2006,20172.31650761671,20.17231650761671,8.261165076083582,0.6935656156812253,11.511152704884013,1.3290538046690807,2.5087942635051594,0.5268361381296005,13.862989365060697,1.4512642791453505,0.11692687914850974,3.03881044401159,0.2807428134897331,1.7878112995282958,0.11058105612564328,0,0,0,no,sst
west_coast_annual-5-2006,west_coast_annual,2006,222.5991092685458,0.2225991092685458,-0.0073224854636051995,-0.03184774997814185,-0.09091167590607888,-0.2899794208210136,-0.44228127183650856,-0.03236592099281499,8.598368957098772,0.05998009830078743,0.007024755992342014,-0.24076169750973442,-0.02723816480574446,-0.5461351288519745,0.007000197339252934,0,0,0,no,soda_b
west_coast_annual-5-2006,west_coast_annual,2006,222.5991092685458,0.2225991092685458,-0.0073224854636051995,-0.03184774997814185,-0.09091167590607888,-0.2899794208210136,-0.44228127183650856,-0.03236592099281499,8.598368957098772,0.05998009830078743,0.007024755992342014,-0.24076169750973442,-0.02723816480574446,-0.5461351288519745,0.007000197339252934,0,0,0,no,soda_s
